['483', '876', '940', '137', '382']
['172', '108', '542', '869', '703']
['179', '503', '512', '576', '400']
['276', '448', '830', '285', '528']
['929', '895', '193', '978', '32']
['294', '658', '773', '105', '592']
['525', '781', '368', '776', '365']
['800', '106', '66', '741', '102']
['854', '293', '3', '46', '205']
['390', '566', '392', '468', '109']
['779', '372', '175', '167', '574']
['148', '312', '422', '388', '986']
['37', '219', '672', '708', '240']
['496', '389', '272', '209', '531']
['384', '938', '787', '688', '864']
['888', '113', '722', '650', '655']
['89', '222', '334', '761', '51']
['639', '182', '839', '431', '215']
['379', '979', '673', '274', '161']
['361', '480', '965', '719', '539']
['950', '581', '856', '976', '256']
['252', '881', '768', '180', '236']
['630', '550', '678', '756', '521']
['377', '75', '633', '494', '275']
['233', '849', '739', '245', '834']
['136', '178', '518', '641', '782']
['943', '898', '968', '244', '318']
['567', '120', '604', '794', '942']
['813', '399', '934', '459', '115']
['759', '287', '53', '10', '487']
['502', '771', '611', '451', '607']
['122', '501', '28', '38', '873']
['766', '395', '224', '818', '186']
['153', '973', '378', '791', '121']
['717', '686', '239', '132', '905']
['341', '526', '183', '255', '126']
['866', '561', '227', '617', '798']
['621', '41', '492', '908', '97']
['865', '889', '584', '623', '185']
['23', '228', '529', '913', '953']
['98', '135', '409', '413', '685']
['808', '992', '775', '862', '827']
['674', '353', '891', '823', '580']
['993', '910', '709', '572', '693']
['265', '786', '758', '217', '31']
['129', '682', '532', '95', '515']
['331', '640', '226', '336', '330']
['647', '557', '684', '373', '705']
['174', '402', '599', '691', '21']
['921', '288', '112', '729', '156']
['751', '452', '811', '553', '742']
['860', '86', '321', '339', '744']
['597', '454', '977', '249', '689']
['752', '631', '223', '583', '855']
['306', '207', '271', '385', '990']
['414', '101', '439', '740', '546']
['964', '985', '50', '246', '871']
['309', '575', '690', '616', '446']
['949', '157', '805', '663', '835']
['927', '350', '164', '88', '9']
['753', '282', '344', '632', '661']
['560', '783', '196', '821', '669']
['143', '714', '698', '727', '832']
['441', '628', '643', '667', '424']
['327', '636', '699', '63', '328']
['489', '505', '420', '646', '770']
['788', '991', '254', '52', '15']
['932', '100', '78', '169', '29']
['166', '1', '848', '507', '902']
['654', '828', '995', '55', '103']
['90', '520', '68', '966', '216']
['490', '147', '936', '802', '731']
['749', '199', '504', '994', '737']
['370', '829', '64', '595', '191']
['570', '286', '260', '790', '200']
['847', '530', '591', '235', '589']
['264', '664', '238', '508', '111']
['412', '428', '305', '796', '904']
['846', '556', '383', '497', '110']
['541', '128', '712', '423', '879']
['653', '651', '997', '792', '928']
['820', '302', '396', '627', '491']
['732', '610', '826', '444', '214']
['39', '726', '202', '906', '785']
['104', '348', '816', '381', '33']
['555', '789', '25', '996', '241']
['81', '34', '362', '72', '326']
['450', '704', '493', '626', '403']
['333', '273', '281', '544', '577']
['670', '352', '410', '24', '552']
['376', '527', '959', '901', '134']
['952', '324', '269', '963', '295']
['725', '369', '430', '569', '533']
['859', '394', '232', '852', '231']
['840', '346', '886', '926', '208']
['838', '8', '939', '677', '124']
['253', '594', '189', '280', '311']
['912', '549', '345', '559', '903']
['754', '924', '73', '998', '563']
['947', '711', '878', '155', '71']
['279', '313', '2', '937', '760']
['750', '510', '13', '421', '892']
['757', '67', '687', '540', '457']
['375', '920', '335', '724', '975']
['146', '642', '883', '537', '54']
['851', '844', '523', '565', '615']
['608', '315', '80', '58', '625']
['218', '425', '774', '692', '817']
['429', '841', '188', '301', '836']
['619', '764', '605', '142', '769']
['746', '822', '486', '804', '243']
['999', '283', '733', '819', '961']
['266', '262', '477', '587', '914']
['307', '456', '598', '885', '765']
['438', '911', '645', '170', '349']
['884', '772', '588', '951', '357']
['398', '648', '747', '386', '478']
['476', '989', '354', '644', '558']
['896', '374', '296', '443', '83']
['16', '12', '586', '857', '482']
['406', '882', '702', '680', '460']
['168', '408', '620', '784', '473']
['70', '946', '870', '695', '803']
['547', '780', '18', '248', '257']
['824', '139', '988', '853', '514']
['590', '562', '941', '49', '958']
