['1073', '917', '1066', '571', '1065', '316', '782', '182', '721', '1102', '644', '243', '621', '323', '632', '818', '1053', '371', '943', '749', '677', '851', '990', '267', '1029', '883', '390', '993', '1088', '545', '569']
['757', '496', '1043', '354', '1026', '828', '960', '794', '1059', '1056', '237', '421', '447', '964', '898', '812', '329', '780', '492', '180', '754', '266', '219', '202', '676', '516', '675', '220', '607', '286', '433']
['1048', '856', '1101', '212', '881', '489', '843', '637', '893', '603', '189', '912', '473', '948', '774', '340', '831', '797', '863', '1050', '474', '596', '176', '1062', '748', '602', '1007', '956', '260', '229', '1015']
['1004', '894', '717', '667', '369', '308', '1003', '922', '363', '579', '839', '287', '981', '424', '790', '983', '146', '594', '789', '416', '388', '551', '522', '764', '542', '524', '971', '464', '639', '506', '625']
['383', '213', '1041', '152', '309', '162', '470', '966', '407', '379', '310', '599', '649', '574', '273', '1069', '442', '711', '670', '636', '650', '755', '341', '772', '185', '450', '986', '679', '959', '193', '709']
['601', '693', '595', '528', '854', '559', '546', '1080', '965', '386', '327', '300', '301', '793', '292', '988', '227', '857', '591', '507', '899', '288', '929', '609', '210', '645', '996', '399', '151', '415', '225']
['413', '751', '953', '412', '691', '796', '284', '313', '888', '349', '884', '283', '973', '910', '200', '355', '803', '557', '699', '836', '257', '1049', '440', '169', '719', '350', '696', '1097', '741', '303', '876']
['446', '1085', '962', '849', '408', '282', '745', '580', '555', '454', '707', '998', '957', '368', '271', '1072', '562', '925', '710', '272', '674', '476', '160', '951', '418', '1046', '268', '239', '566', '1058', '478']
['733', '999', '786', '937', '1067', '448', '630', '886', '623', '627', '666', '835', '896', '816', '480', '236', '429', '664', '814', '497', '245', '613', '791', '244', '597', '547', '784', '556', '660', '1005', '499']
['445', '305', '687', '970', '858', '805', '241', '231', '148', '731', '651', '823', '874', '612', '833', '852', '769', '295', '381', '276', '895', '840', '307', '982', '629', '165', '720', '927', '585', '481', '161']
['380', '389', '537', '890', '1083', '985', '400', '1034', '321', '811', '834', '819', '396', '1006', '347', '1100', '422', '694', '461', '539', '503', '611', '804', '669', '1030', '968', '706', '525', '449', '739', '743']
['179', '638', '183', '974', '725', '387', '255', '319', '766', '526', '808', '550', '198', '919', '1063', '426', '394', '1081', '934', '1013', '297', '708', '1010', '564', '624', '187', '568', '471', '423', '753', '928']
['338', '665', '326', '600', '207', '862', '498', '1033', '472', '1091', '866', '223', '224', '149', '277', '972', '945', '715', '240', '174', '230', '411', '877', '587', '589', '703', '847', '460', '1032', '529', '373']
['767', '750', '337', '657', '252', '1001', '432', '860', '514', '1096', '242', '946', '192', '905', '1095', '806', '920', '825', '987', '150', '723', '576', '532', '742', '330', '845', '658', '821', '531', '430', '170']
['406', '832', '728', '590', '634', '538', '930', '541', '419', '147', '155', '846', '269', '653', '493', '505', '520', '1061', '405', '435', '171', '264', '204', '802', '688', '469', '335', '642', '826', '1009', '298']
['457', '188', '760', '837', '352', '949', '661', '963', '697', '617', '622', '328', '752', '583', '1019', '913', '515', '647', '724', '655', '869', '955', '827', '684', '254', '285', '1071', '318', '901', '841', '1044']
['859', '1000', '807', '662', '552', '398', '933', '409', '519', '942', '393', '544', '414', '441', '451', '475', '926', '633', '495', '372', '159', '289', '385', '184', '270', '291', '672', '228', '177', '1090', '535']
['654', '482', '744', '278', '501', '838', '656', '384', '299', '376', '567', '713', '436', '914', '572', '1008', '902', '247', '618', '332', '443', '455', '465', '578', '573', '518', '199', '511', '640', '885', '494']
['737', '533', '523', '958', '281', '732', '689', '989', '761', '1045', '938', '792', '1093', '251', '543', '1017', '705', '1040', '374', '487', '994', '1078', '553', '209', '907', '824', '521', '954', '356', '668', '561']
['758', '360', '582', '549', '375', '682', '280', '417', '560', '740', '1022', '678', '976', '331', '468', '365', '775', '274', '991', '265', '730', '191', '259', '701', '952', '157', '565', '534', '867', '777', '1051']
['604', '345', '773', '605', '477', '770', '420', '226', '1038', '1086', '915', '1042', '909', '275', '325', '175', '820', '172', '504', '397', '822', '302', '304', '362', '1099', '530', '167', '1020', '614', '801', '218']
['490', '648', '581', '548', '776', '1035', '253', '181', '606', '871', '921', '361', '358', '1084', '563', '671', '164', '249', '916', '900', '232', '726', '378', '771', '700', '918', '995', '1052', '401', '458', '961']
['1070', '403', '333', '947', '205', '410', '778', '610', '830', '156', '359', '261', '353', '377', '939', '598', '673', '681', '690', '977', '875', '1023', '768', '1103', '1082', '967', '1092', '813', '652', '1014', '736']
['463', '853', '608', '1060', '196', '324', '453', '924', '238', '978', '892', '293', '163', '735', '517', '615', '747', '439', '1054', '1089', '509', '438', '984', '788', '935', '635', '829', '483', '738', '1098', '795']
['203', '317', '486', '817', '1011', '1076', '903', '891', '558', '969', '734', '513', '306', '904', '1012', '320', '554', '626', '1047', '367', '1028', '315', '290', '456', '1077', '716', '256', '704', '680', '593', '190']
['936', '779', '1055', '870', '815', '342', '206', '619', '246', '366', '166', '997', '1031', '855', '787', '1068', '1094', '314', '932', '686', '641', '698', '659', '873', '950', '479', '844', '850', '1079', '484', '575']
['1075', '391', '197', '452', '404', '395', '577', '348', '334', '444', '540', '980', '1036', '434', '584', '785', '351', '485', '783', '248', '762', '1087', '746', '250', '908', '683', '592', '897', '944', '1025', '992']
['799', '427', '153', '221', '186', '279', '712', '1024', '878', '975', '570', '729', '262', '466', '536', '1002', '1039', '798', '217', '370', '234', '491', '722', '467', '428', '865', '940', '296', '216', '810', '158']
['402', '763', '941', '631', '887', '336', '1037', '344', '1018', '848', '508', '923', '616', '512', '695', '168', '588', '809', '685', '906', '702', '1106', '842', '339', '1016', '357', '620', '643', '510', '692', '343']
['194', '215', '233', '864', '911', '431', '263', '646', '346', '195', '235', '502', '154', '1064', '931', '759', '628', '392', '382', '258', '1057', '222', '714', '880', '201', '979', '800', '718', '208', '500', '437']
['311', '459', '173', '586', '1027', '294', '211', '1105', '312', '756', '882', '178', '425', '1074', '872', '868', '727', '879', '889', '488', '364', '214', '322', '462', '781', '527', '1104', '861', '765', '663', '1021']
