['445', '533', '68', '486', '725', '346', '148', '555', '513', '761', '386', '909', '447', '615', '838', '361', '299', '879', '168', '331', '694', '497', '468', '554', '711', '507', '708', '185', '113', '87', '927']
['937', '693', '974', '728', '745', '38', '404', '231', '64', '147', '808', '603', '579', '796', '37', '81', '904', '774', '283', '515', '261', '138', '461', '247', '613', '119', '450', '208', '813', '652', '52']
['648', '582', '173', '776', '646', '309', '966', '580', '689', '721', '734', '56', '834', '926', '655', '150', '485', '503', '783', '699', '935', '456', '700', '33', '675', '357', '401', '679', '191', '88', '343']
['153', '763', '326', '196', '212', '870', '305', '634', '43', '118', '412', '379', '616', '301', '785', '647', '340', '818', '222', '219', '45', '598', '635', '851', '718', '127', '824', '239', '614', '423', '478']
['962', '402', '890', '523', '241', '308', '235', '348', '293', '192', '811', '731', '651', '92', '434', '14', '322', '686', '124', '869', '900', '800', '522', '764', '84', '845', '24', '449', '658', '303', '545']
['70', '233', '282', '408', '352', '79', '896', '792', '189', '610', '574', '392', '562', '833', '762', '232', '171', '873', '2', '685', '906', '982', '160', '270', '210', '683', '908', '701', '531', '575', '510']
['496', '490', '49', '391', '28', '354', '891', '960', '111', '182', '280', '871', '882', '12', '243', '825', '292', '925', '710', '426', '509', '40', '141', '272', '315', '254', '104', '564', '768', '335', '753']
['186', '279', '406', '744', '858', '263', '985', '195', '11', '619', '707', '915', '328', '653', '976', '180', '58', '353', '916', '670', '367', '332', '176', '738', '861', '128', '991', '471', '660', '59', '225']
['94', '853', '856', '188', '410', '978', '508', '294', '519', '242', '246', '735', '117', '740', '945', '727', '32', '814', '172', '714', '797', '99', '440', '956', '318', '716', '296', '720', '643', '801', '144']
['380', '767', '338', '136', '924', '958', '226', '409', '782', '805', '617', '253', '835', '312', '544', '178', '644', '236', '424', '86', '591', '372', '895', '95', '304', '204', '901', '821', '642', '680', '30']
['134', '601', '751', '665', '431', '963', '878', '498', '102', '454', '155', '942', '666', '414', '284', '868', '520', '240', '793', '587', '939', '791', '669', '54', '114', '702', '959', '625', '216', '218', '885']
['604', '197', '311', '281', '892', '502', '366', '368', '313', '981', '19', '780', '100', '175', '769', '355', '164', '934', '877', '668', '659', '479', '784', '844', '530', '22', '267', '672', '259', '17', '777']
['457', '528', '911', '453', '448', '559', '316', '586', '622', '55', '47', '72', '358', '74', '439', '475', '724', '214', '539', '266', '671', '467', '809', '547', '362', '951', '464', '4', '847', '151', '566']
['638', '10', '608', '760', '108', '828', '477', '770', '98', '106', '46', '778', '540', '41', '421', '273', '105', '913', '889', '15', '621', '314', '504', '863', '69', '290', '264', '18', '167', '90', '286']
['799', '631', '590', '342', '123', '211', '905', '472', '922', '66', '181', '649', '536', '747', '964', '839', '417', '325', '713', '852', '474', '673', '690', '465', '85', '500', '741', '511', '876', '161', '499']
['203', '654', '537', '194', '887', '953', '860', '336', '630', '375', '627', '550', '62', '278', '327', '51', '258', '910', '35', '527', '950', '532', '772', '524', '629', '553', '67', '585', '663', '736', '730']
['750', '917', '657', '360', '581', '794', '321', '82', '501', '872', '89', '563', '612', '914', '200', '572', '754', '789', '201', '397', '681', '428', '742', '285', '390', '268', '97', '469', '356', '158', '535']
['446', '34', '345', '183', '115', '548', '205', '319', '142', '732', '931', '957', '251', '441', '275', '664', '287', '983', '787', '394', '245', '16', '596', '641', '483', '289', '288', '78', '484', '578', '795']
['389', '213', '452', '667', '930', '107', '162', '541', '946', '843', '140', '149', '13', '695', '972', '429', '300', '329', '488', '44', '230', '831', '257', '551', '576', '330', '250', '568', '42', '430', '704']
['3', '758', '712', '482', '75', '903', '387', '933', '975', '570', '110', '886', '93', '923', '505', '422', '442', '611', '626', '381', '169', '276', '822', '706', '944', '850', '918', '954', '177', '565', '126']
['859', '179', '317', '605', '514', '420', '73', '223', '888', '396', '806', '584', '812', '798', '436', '632', '174', '788', '829', '755', '542', '899', '597', '307', '121', '516', '592', '187', '143', '561', '867']
['757', '9', '383', '252', '832', '237', '729', '109', '7', '980', '480', '306', '583', '370', '988', '323', '274', '435', '244', '749', '302', '677', '968', '31', '977', '36', '20', '437', '518', '961', '23']
['337', '145', '949', '538', '154', '57', '131', '349', '790', '156', '803', '411', '836', '438', '650', '955', '443', '371', '101', '726', '25', '840', '929', '609', '83', '897', '556', '573', '739', '529', '569']
['60', '91', '403', '344', '546', '571', '400', '407', '334', '310', '269', '63', '48', '759', '198', '560', '752', '987', '217', '855', '320', '589', '71', '297', '990', '1', '986', '841', '743', '229', '928']
['427', '807', '894', '122', '103', '76', '152', '881', '444', '29', '77', '893', '262', '224', '599', '628', '819', '884', '678', '351', '633', '137', '248', '476', '26', '385', '418', '645', '620', '157', '415']
['221', '786', '552', '661', '207', '419', '637', '866', '393', '874', '830', '234', '820', '365', '61', '416', '902', '636', '341', '748', '865', '165', '339', '765', '639', '967', '193', '640', '826', '373', '190']
['65', '333', '255', '395', '206', '470', '989', '965', '938', '846', '112', '493', '277', '96', '359', '495', '405', '618', '588', '116', '971', '771', '602', '624', '139', '907', '883', '525', '607', '199', '298']
['463', '773', '125', '398', '238', '369', '489', '969', '623', '425', '816', '948', '27', '705', '376', '481', '364', '857', '775', '674', '719', '487', '184', '688', '842', '39', '952', '170', '810', '432', '6']
['941', '687', '459', '970', '558', '577', '697', '363', '912', '473', '543', '271', '656', '384', '347', '715', '451', '146', '50', '492', '973', '594', '723', '249', '804', '880', '5', '875', '399', '506', '692']
['936', '324', '133', '854', '129', '549', '526', '682', '756', '921', '166', '823', '898', '920', '433', '462', '722', '388', '984', '159', '350', '374', '202', '378', '703', '696', '265', '209', '220', '256', '593']
['737', '849', '864', '662', '817', '837', '947', '815', '691', '163', '135', '606', '512', '382', '567', '295', '491', '557', '377', '827', '676', '21', '940', '802', '8', '291', '458', '80', '53', '534', '848']
['733', '413', '215', '779', '120', '595', '717', '130', '600', '862', '766', '466', '517', '919', '227', '0', '932', '132', '781', '979', '698', '746', '943', '684', '455', '228', '260', '521', '460', '709', '494']
