['413', '523', '870', '947', '605', '387', '73', '508', '697', '921', '793', '351', '50', '405', '641', '742', '677', '624', '362', '42', '765', '841', '199', '303', '343']
['657', '28', '581', '546', '118', '975', '766', '915', '56', '811', '656', '785', '495', '762', '54', '26', '250', '128', '465', '897', '716', '390', '399', '952', '97']
['733', '9', '533', '665', '911', '634', '881', '794', '235', '778', '93', '237', '808', '544', '47', '63', '912', '439', '0', '416', '372', '670', '977', '553', '8']
['282', '687', '548', '858', '963', '107', '886', '812', '814', '364', '818', '594', '916', '467', '706', '185', '771', '121', '951', '990', '265', '296', '458', '709', '298']
['179', '750', '856', '360', '832', '369', '734', '957', '425', '543', '628', '727', '790', '100', '175', '488', '551', '596', '169', '2', '895', '971', '291', '660', '161']
['345', '60', '212', '513', '536', '871', '806', '678', '451', '376', '355', '820', '394', '797', '132', '341', '159', '330', '160', '78', '907', '996', '701', '518', '578']
['903', '111', '123', '64', '7', '434', '384', '349', '621', '973', '863', '332', '371', '297', '479', '748', '204', '516', '22', '842', '847', '484', '228', '481', '190']
['380', '338', '864', '631', '305', '57', '55', '896', '278', '560', '480', '347', '919', '329', '340', '655', '440', '827', '542', '158', '901', '607', '643', '356', '534']
['173', '661', '281', '454', '334', '989', '893', '731', '882', '997', '976', '633', '754', '783', '880', '248', '71', '116', '688', '139', '464', '151', '954', '652', '478']
['490', '402', '849', '311', '815', '162', '580', '72', '313', '644', '584', '855', '910', '200', '492', '438', '99', '276', '749', '95', '906', '676', '875', '187', '167']
['638', '728', '860', '346', '586', '231', '942', '980', '610', '392', '724', '775', '900', '435', '247', '829', '5', '674', '25', '772', '378', '254', '592', '90', '642']
['446', '122', '725', '828', '477', '395', '969', '419', '627', '312', '414', '236', '972', '358', '515', '736', '803', '539', '781', '576', '865', '83', '718', '268', '569']
['445', '917', '537', '65', '76', '410', '238', '46', '689', '721', '735', '825', '19', '461', '722', '935', '738', '968', '784', '33', '177', '821', '460', '529', '52']
['757', '152', '577', '707', '519', '931', '246', '472', '938', '574', '275', '981', '830', '214', '836', '40', '939', '532', '373', '31', '36', '645', '67', '525', '680']
['213', '595', '600', '130', '241', '206', '489', '366', '923', '189', '798', '877', '232', '822', '202', '285', '982', '418', '683', '339', '260', '614', '193', '335', '30']
['221', '737', '601', '68', '403', '760', '75', '590', '205', '148', '294', '843', '280', '834', '131', '325', '671', '831', '591', '950', '703', '556', '209', '469', '593']
['108', '420', '98', '985', '555', '998', '321', '112', '816', '819', '874', '872', '705', '146', '694', '180', '272', '507', '302', '908', '675', '986', '967', '668', '535']
['34', '608', '779', '188', '941', '891', '514', '336', '404', '43', '473', '948', '664', '567', '359', '138', '723', '230', '902', '602', '530', '401', '216', '561', '545']
['91', '817', '933', '782', '308', '892', '155', '41', '62', '269', '517', '653', '752', '32', '612', '789', '714', '45', '764', '18', '114', '700', '850', '993', '753']
['773', '103', '949', '448', '538', '348', '729', '616', '328', '579', '396', '904', '44', '365', '124', '873', '487', '304', '456', '1', '220', '53', '663', '433', '23']
['153', '3', '452', '805', '412', '182', '637', '79', '12', '945', '583', '715', '889', '632', '314', '686', '474', '711', '141', '350', '669', '684', '289', '961', '992']
['496', '604', '389', '890', '763', '106', '732', '29', '649', '166', '284', '15', '105', '926', '295', '869', '984', '589', '16', '650', '955', '685', '719', '500', '88']
['859', '654', '758', '317', '133', '854', '218', '571', '603', '501', '615', '424', '491', '174', '219', '681', '845', '318', '165', '844', '191', '959', '801', '17', '494']
['962', '215', '279', '398', '459', '319', '400', '310', '835', '666', '796', '566', '306', '512', '879', '258', '442', '172', '462', '201', '476', '696', '256', '430', '704']
['786', '194', '252', '974', '745', '970', '958', '211', '623', '66', '417', '361', '178', '92', '51', '273', '647', '234', '257', '443', '104', '547', '210', '629', '471']
['203', '693', '125', '115', '145', '136', '225', '293', '393', '117', '181', '27', '925', '800', '397', '597', '991', '270', '777', '24', '39', '739', '423', '867', '928']
['337', '463', '10', '354', '255', '142', '409', '966', '526', '622', '846', '37', '441', '695', '713', '320', '504', '176', '101', '290', '524', '944', '573', '80', '741']
['999', '94', '120', '887', '453', '207', '549', '978', '493', '13', '920', '301', '74', '913', '914', '497', '266', '788', '598', '483', '708', '994', '564', '768', '826']
