['533', '608', '68', '196', '662', '333', '346', '192', '472', '77', '223', '66', '62', '425', '653', '12', '429', '594', '201', '171', '176', '681', '609', '113', '139', '357', '259', '565', '578', '709']
['638', '380', '463', '537', '413', '737', '523', '133', '646', '98', '235', '541', '182', '321', '79', '7', '112', '198', '695', '168', '172', '611', '232', '5', '479', '464', '167', '191', '268', '228']
['194', '120', '665', '145', '431', '477', '661', '152', '600', '409', '502', '55', '63', '251', '628', '562', '488', '495', '426', '722', '474', '551', '270', '362', '696', '127', '22', '449', '518', '303']
['337', '134', '122', '129', '130', '207', '729', '735', '278', '166', '473', '301', '15', '392', '422', '710', '435', '589', '659', '738', '726', '428', '119', '568', '556', '265', '663', '17', '692', '569']
['496', '282', '634', '38', '369', '224', '651', '149', '441', '664', '424', '405', '164', '714', '367', '711', '613', '706', '683', '592', '688', '8', '85', '90', '668', '561', '529', '545', '298', '499']
['457', '317', '213', '103', '76', '238', '253', '616', '363', '656', '505', '347', '583', '96', '217', '214', '504', '381', '596', '650', '507', '698', '685', '635', '315', '378', '677', '330', '161', '343']
['345', '631', '324', '745', '514', '420', '309', '308', '375', '734', '310', '47', '284', '13', '266', '699', '137', '443', '341', '684', '742', '547', '304', '516', '456', '296', '151', '620', '511', '432']
['383', '49', '326', '728', '173', '448', '558', '255', '682', '444', '466', '421', '493', '644', '349', '283', '715', '497', '491', '572', '40', '588', '254', '285', '602', '1', '701', '415', '575', '30']
['391', '233', '693', '605', '548', '590', '241', '689', '163', '246', '312', '544', '280', '543', '292', '261', '227', '295', '485', '174', '16', '598', '276', '542', '450', '672', '614', '521', '335', '481']
['34', '389', '338', '197', '205', '73', '11', '64', '358', '299', '539', '394', '416', '35', '332', '397', '476', '202', '26', '748', '18', '78', '624', '83', '208', '401', '399', '741', '743', '704']
['490', '221', '408', '595', '528', '115', '305', '319', '652', '181', '74', '105', '44', '554', '503', '388', '377', '353', '245', '159', '184', '703', '553', '716', '720', '199', '216', '23', '510', '593']
['136', '107', '118', '111', '400', '454', '379', '242', '237', '623', '637', '599', '269', '178', '340', '100', '180', '433', '671', '723', '99', '676', '307', '209', '220', '639', '143', '177', '469', '460']
['446', '60', '486', '108', '452', '75', '538', '281', '231', '93', '366', '48', '368', '417', '27', '271', '382', '258', '442', '325', '633', '461', '61', '219', '58', '116', '487', '87', '658', '423']
['601', '482', '712', '717', '344', '470', '517', '536', '584', '678', '515', '376', '355', '655', '86', '257', '132', '670', '673', '244', '54', '290', '144', '185', '204', '530', '458', '437', '88', '566']
['654', '360', '744', '102', '294', '622', '627', '109', '550', '117', '501', '606', '51', '705', '89', '287', '19', '32', '240', '694', '138', '320', '686', '69', '371', '527', '690', '24', '256', '535']
['604', '91', '581', '404', '46', '148', '154', '519', '56', '262', '37', '313', '327', '92', '156', '647', '359', '632', '468', '314', '746', '374', '104', '210', '675', '484', '218', '642', '170', '126']
['3', '406', '65', '212', '387', '395', '697', '348', '526', '57', '41', '82', '328', '610', '447', '439', '727', '329', '364', '365', '591', '2', '289', '250', '564', '629', '4', '97', '640', '736']
['9', '336', '263', '106', '549', '586', '123', '732', '489', '570', '155', '666', '386', '512', '396', '243', '567', '234', '169', '272', '708', '128', '36', '267', '525', '20', '80', '260', '53', '373']
['279', '125', '552', '459', '162', '410', '412', '334', '135', '277', '275', '621', '436', '724', '150', '462', '322', '509', '576', '483', '288', '264', '114', '121', '718', '390', '660', '625', '680', '494']
['402', '153', '571', '142', '206', '211', '513', '731', '574', '560', '520', '713', '249', '641', '440', '71', '297', '101', '350', '669', '84', '700', '33', '318', '573', '679', '739', '643', '356', '730']
['648', '186', '311', '342', '508', '110', '707', '293', '419', '393', '615', '131', '300', '146', '50', '200', '0', '230', '124', '626', '587', '141', '674', '532', '21', '25', '39', '239', '229', '158']
['445', '179', '203', '657', '252', '28', '725', '687', '559', '667', '546', '43', '580', '619', '147', '603', '649', '370', '222', '247', '467', '636', '95', '302', '31', '597', '160', '42', '193', '534']
['733', '94', '10', '582', '453', '226', '195', '691', '579', '72', '81', '747', '480', '306', '740', '361', '451', '475', '557', '618', '385', '465', '645', '339', '471', '500', '607', '478', '430', '6']
['70', '427', '215', '188', '354', '183', '398', '577', '316', '498', '555', '617', '189', '414', '434', '236', '384', '273', '563', '14', '612', '492', '323', '274', '438', '248', '165', '157', '59', '190']
['403', '352', '630', '407', '721', '540', '29', '140', '331', '351', '175', '372', '411', '45', '522', '719', '749', '455', '524', '702', '418', '187', '67', '291', '585', '506', '286', '531', '225', '52']
