['9', '857', '710', '693', '557', '482', '136', '984', '506', '806']
['423', '988', '956', '200', '338', '699', '417', '341', '395', '736']
['999', '94', '119', '405', '990', '974', '471', '711', '149', '822']
['989', '262', '631', '863', '464', '133', '45', '177', '440', '785']
['856', '124', '722', '48', '605', '15', '590', '23', '241', '692']
['496', '66', '901', '870', '188', '284', '512', '17', '162', '697']
['179', '454', '917', '896', '447', '517', '644', '271', '872', '664']
['113', '681', '568', '603', '396', '152', '505', '89', '708', '889']
['814', '444', '211', '192', '665', '257', '816', '636', '993', '240']
['713', '586', '86', '530', '616', '579', '16', '53', '899', '753']
['221', '389', '629', '712', '864', '390', '902', '518', '746', '6']
['617', '931', '270', '61', '918', '565', '441', '349', '424', '499']
['925', '666', '582', '536', '425', '828', '88', '613', '236', '674']
['376', '359', '683', '998', '897', '797', '525', '741', '332', '69']
['325', '164', '952', '698', '667', '531', '225', '919', '289', '913']
['502', '379', '261', '503', '8', '995', '504', '584', '642', '848']
['757', '773', '923', '63', '837', '99', '891', '663', '303', '546']
['489', '799', '472', '608', '77', '573', '453', '404', '130', '479']
['908', '874', '120', '117', '704', '433', '319', '144', '202', '195']
['982', '57', '632', '553', '836', '20', '964', '514', '928', '382']
['702', '786', '852', '875', '62', '552', '745', '199', '483', '161']
['524', '334', '36', '945', '403', '743', '630', '43', '301', '19']
['445', '153', '850', '595', '81', '198', '955', '434', '695', '810']
['18', '114', '831', '953', '788', '438', '959', '306', '992', '32']
['932', '67', '58', '501', '725', '281', '73', '727', '515', '285']
['780', '784', '556', '354', '731', '368', '459', '529', '52', '118']
['148', '488', '845', '214', '637', '986', '431', '287', '794', '968']
['55', '491', '465', '56', '222', '789', '871', '131', '868', '534']
['121', '413', '461', '318', '393', '662', '660', '979', '300', '346']
['767', '703', '884', '601', '365', '363', '909', '220', '960', '11']
['146', '769', '10', '253', '24', '921', '847', '90', '218', '315']
['766', '865', '721', '78', '485', '869', '377', '72', '75', '903']
['555', '886', '726', '167', '649', '717', '510', '350', '105', '470']
['946', '737', '754', '183', '528', '824', '398', '500', '508', '235']
