['489', '87', '222', '42', '140', '278', '401', '53', '131', '392']
['9', '365', '394', '357', '417', '449', '149', '477', '206', '32']
['163', '338', '187', '58', '89', '99', '384', '428', '21', '185']
['146', '18', '334', '261', '249', '167', '133', '48', '228', '244']
['148', '412', '113', '154', '461', '322', '197', '458', '439', '105']
['407', '304', '41', '91', '363', '136', '239', '198', '429', '281']
['294', '78', '57', '65', '372', '132', '40', '298', '195', '424']
['337', '100', '147', '253', '47', '493', '272', '448', '271', '432']
['104', '468', '406', '291', '213', '466', '103', '43', '299', '30']
['370', '463', '3', '125', '352', '157', '171', '469', '2', '238']
['329', '182', '221', '55', '360', '28', '296', '4', '275', '347']
['331', '119', '391', '274', '137', '327', '344', '303', '226', '455']
['128', '204', '265', '35', '248', '232', '256', '218', '287', '241']
['203', '246', '491', '267', '88', '286', '92', '470', '207', '26']
['179', '436', '44', '227', '72', '397', '371', '481', '52', '341']
['351', '153', '475', '282', '178', '199', '336', '276', '483', '126']
['445', '70', '200', '223', '181', '208', '260', '460', '289', '400']
['168', '84', '310', '76', '129', '333', '5', '387', '59', '479']
['340', '362', '134', '135', '411', '467', '46', '433', '170', '378']
['307', '34', '418', '68', '416', '196', '367', '130', '98', '478']
['258', '175', '33', '262', '117', '143', '37', '97', '27', '300']
['110', '419', '457', '127', '219', '280', '324', '425', '415', '476']
['50', '252', '172', '471', '45', '435', '423', '118', '217', '382']
['456', '345', '413', '138', '29', '353', '437', '420', '255', '498']
['446', '444', '295', '180', '314', '79', '108', '13', '144', '123']
['94', '49', '364', '318', '257', '403', '166', '306', '51', '315']
['264', '250', '211', '186', '482', '388', '339', '96', '177', '290']
['402', '60', '174', '188', '1', '254', '346', '158', '409', '161']
['496', '490', '142', '462', '354', '201', '487', '193', '107', '111']
['389', '192', '233', '145', '16', '229', '243', '309', '162', '235']
['64', '383', '450', '7', '63', '269', '284', '381', '332', '385']
['348', '270', '194', '497', '366', '73', '191', '101', '54', '369']
['492', '86', '485', '328', '259', '368', '342', '169', '6', '308']
['292', '405', '139', '189', '85', '12', '440', '205', '236', '71']
['301', '242', '124', '464', '311', '151', '404', '159', '316', '302']
['375', '297', '237', '214', '480', '152', '443', '273', '202', '451']
['359', '323', '317', '56', '24', '313', '80', '441', '225', '374']
['454', '379', '36', '320', '321', '164', '120', '183', '112', '459']
['210', '10', '62', '122', '82', '220', '438', '176', '17', '95']
['494', '472', '355', '279', '77', '447', '69', '283', '19', '11']
['376', '380', '442', '215', '426', '66', '268', '141', '395', '330']
['121', '495', '230', '326', '377', '474', '473', '75', '74', '350']
['114', '160', '61', '22', '209', '421', '500', '335', '319', '343']
['422', '325', '293', '488', '165', '312', '231', '430', '25', '102']
['93', '109', '234', '266', '408', '224', '414', '251', '90', '38']
['83', '393', '115', '245', '361', '263', '356', '349', '15', '499']
['155', '8', '486', '386', '288', '247', '484', '396', '106', '31']
['285', '465', '150', '305', '453', '39', '398', '173', '23', '156']
['184', '67', '212', '390', '399', '452', '431', '434', '358', '410']
['14', '427', '116', '190', '20', '81', '277', '216', '373', '240']
