['378', '631', '576', '443', '48']
['970', '281', '931', '833', '403']
['159', '718', '328', '295', '205']
['703', '858', '611', '598', '152']
['221', '624', '488', '116', '978']
['445', '347', '688', '862', '112']
['341', '923', '58', '951', '387']
['264', '157', '36', '484', '539']
['219', '354', '515', '355', '580']
['668', '639', '346', '339', '729']
['636', '492', '790', '206', '731']
['329', '20', '59', '248', '366']
['748', '612', '523', '677', '656']
['340', '884', '82', '537', '877']
['311', '993', '628', '753', '558']
['31', '190', '49', '778', '338']
['766', '141', '809', '755', '30']
['70', '185', '226', '630', '531']
['154', '590', '797', '389', '635']
['824', '430', '876', '593', '216']
['367', '847', '117', '39', '392']
['417', '992', '134', '559', '579']
['166', '325', '181', '251', '685']
['197', '62', '857', '86', '95']
['982', '163', '599', '298', '214']
['800', '252', '153', '792', '272']
['313', '645', '994', '472', '528']
['670', '160', '210', '324', '386']
['98', '652', '199', '475', '827']
['315', '213', '352', '161', '65']
['801', '16', '669', '512', '460']
['169', '895', '124', '416', '870']
['464', '192', '290', '937', '710']
['97', '162', '586', '942', '357']
['618', '375', '289', '300', '123']
['399', '762', '825', '900', '303']
['933', '333', '945', '544', '454']
['619', '260', '774', '919', '758']
['553', '327', '697', '380', '275']
['229', '822', '777', '239', '495']
['23', '838', '142', '342', '782']
['233', '453', '733', '740', '92']
['739', '94', '67', '878', '946']
['393', '225', '224', '587', '875']
['647', '588', '377', '535', '400']
['253', '250', '202', '869', '935']
['788', '771', '171', '24', '452']
['613', '794', '140', '487', '133']
['483', '37', '306', '871', '348']
['148', '743', '292', '336', '594']
['549', '242', '299', '953', '285']
['608', '950', '412', '119', '744']
['865', '508', '617', '411', '773']
['651', '690', '699', '909', '356']
['429', '883', '727', '552', '121']
['737', '516', '27', '708', '109']
['746', '749', '93', '863', '880']
['368', '979', '980', '728', '610']
['604', '997', '742', '0', '972']
['779', '394', '673', '1', '961']
['912', '257', '302', '929', '149']
['817', '637', '625', '848', '990']
['407', '530', '26', '649', '533']
['125', '439', '988', '271', '760']
['959', '783', '466', '73', '623']
['597', '503', '845', '702', '856']
['840', '722', '807', '501', '434']
['689', '904', '663', '756', '320']
['996', '917', '50', '85', '905']
['967', '808', '28', '469', '363']
['184', '781', '18', '903', '494']
['101', '164', '591', '835', '874']
['971', '738', '180', '21', '420']
['201', '907', '286', '765', '96']
['406', '882', '560', '509', '4']
['314', '759', '664', '906', '167']
['554', '574', '607', '681', '234']
['108', '973', '954', '211', '662']
['179', '267', '707', '853', '235']
['578', '676', '974', '823', '855']
['752', '446', '370', '569', '735']
['585', '273', '839', '104', '83']
['130', '129', '188', '956', '802']
['489', '638', '40', '232', '421']
['679', '868', '511', '507', '156']
['675', '712', '548', '995', '10']
['620', '944', '410', '418', '894']
['767', '828', '538', '5', '71']
['866', '938', '939', '175', '482']
['186', '240', '614', '632', '405']
['218', '89', '254', '769', '820']
['259', '428', '506', '633', '84']
['266', '81', '359', '78', '683']
['321', '885', '648', '44', '187']
['426', '634', '397', '15', '305']
['601', '998', '698', '246', '536']
['331', '849', '952', '775', '850']
['212', '960', '892', '836', '131']
['546', '934', '772', '470', '69']
['893', '520', '926', '63', '34']
['398', '7', '975', '441', '517']
['561', '542', '680', '606', '335']
['806', '696', '440', '803', '461']
['725', '326', '480', '821', '208']
['830', '816', '682', '565', '227']
['144', '948', '936', '209', '837']
['844', '886', '968', '474', '102']
['660', '678', '457', '770', '2']
['462', '284', '297', '642', '155']
['87', '135', '655', '217', '627']
['127', '543', '444', '595', '657']
['898', '476', '500', '724', '887']
['984', '128', '25', '147', '842']
['671', '317', '545', '496', '29']
['76', '694', '379', '137', '745']
['485', '230', '918', '584', '641']
['859', '896', '529', '176', '615']
['525', '589', '463', '68', '236']
['255', '763', '90', '910', '269']
['646', '911', '786', '626', '799']
['940', '198', '345', '715', '414']
['449', '720', '388', '551', '215']
['881', '991', '969', '223', '977']
['473', '957', '693', '38', '200']
['435', '983', '764', '852', '382']
['888', '713', '989', '941', '583']
['813', '920', '351', '80', '524']
['376', '711', '704', '12', '365']
['486', '278', '901', '819', '296']
['231', '408', '519', '963', '126']
['247', '714', '174', '493', '256']
['276', '701', '955', '111', '879']
['564', '916', '477', '481', '513']
['99', '178', '832', '622', '120']
['471', '784', '310', '105', '115']
['754', '316', '204', '280', '245']
['567', '381', '432', '478', '915']
['383', '596', '949', '118', '32']
['146', '658', '899', '323', '522']
['563', '353', '424', '695', '330']
['203', '431', '873', '72', '834']
['890', '114', '719', '913', '732']
['17', '846', '304', '262', '54']
['555', '947', '196', '19', '502']
['173', '674', '659', '60', '238']
['575', '455', '468', '138', '343']
['527', '925', '249', '132', '986']
['75', '79', '556', '692', '653']
['570', '425', '640', '780', '818']
['943', '436', '100', '785', '571']
['547', '395', '385', '592', '582']
['897', '787', '183', '433', '318']
['143', '361', '362', '661', '277']
['337', '602', '64', '3', '691']
['358', '479', '189', '158', '861']
['301', '110', '8', '672', '889']
['705', '66', '644', '573', '730']
['43', '985', '684', '761', '11']
['922', '222', '52', '145', '220']
['958', '510', '924', '805', '447']
['279', '566', '650', '603', '499']
['374', '170', '540', '391', '150']
['921', '265', '521', '55', '557']
['750', '811', '287', '550', '402']
['61', '307', '665', '46', '686']
['450', '962', '534', '914', '288']
['319', '6', '77', '409', '976']
['151', '9', '91', '987', '736']
['810', '891', '757', '667', '930']
['45', '747', '505', '270', '795']
['384', '415', '605', '459', '465']
['458', '829', '332', '308', '42']
['349', '577', '562', '344', '113']
['139', '258', '721', '312', '723']
['182', '282', '88', '902', '621']
['241', '373', '396', '497', '491']
['932', '814', '372', '768', '908']
['136', '291', '413', '796', '401']
['438', '22', '334', '274', '369']
['854', '467', '965', '293', '57']
['427', '654', '419', '798', '451']
['74', '442', '207', '864', '741']
['371', '726', '851', '195', '709']
['350', '456', '629', '47', '53']
