['490', '215', '65', '115', '590', '540', '135', '140', '615', '15', '515', '240', '340', '365', '40', '440', '315', '290', '465', '165', '265', '90', '565', '415', '190']
['68', '43', '118', '93', '293', '393', '368', '543', '493', '243', '168', '468', '618', '443', '18', '418', '318', '568', '143', '268', '518', '193', '218', '593', '343']
['408', '162', '410', '66', '414', '131', '439', '583', '497', '539', '495', '164', '587', '35', '16', '272', '285', '362', '33', '390', '208', '458', '260', '59', '535']
['317', '342', '142', '242', '617', '117', '517', '417', '92', '217', '392', '567', '292', '442', '492', '591', '367', '467', '542', '592', '267', '67', '42', '167', '17']
['601', '326', '76', '226', '526', '501', '251', '51', '301', '451', '376', '351', '426', '201', '551', '176', '576', '276', '101', '476', '26', '1', '401', '151', '126']
['125', '75', '600', '575', '400', '375', '550', '425', '300', '275', '325', '475', '100', '50', '200', '0', '150', '175', '350', '25', '250', '450', '525', '500', '225']
['523', '398', '548', '173', '448', '98', '73', '498', '123', '148', '348', '623', '223', '48', '473', '198', '273', '323', '248', '598', '573', '23', '423', '373', '298']
['179', '604', '279', '354', '129', '404', '154', '454', '379', '29', '79', '579', '429', '329', '554', '504', '479', '254', '54', '104', '304', '204', '4', '229', '510']
['463', '413', '338', '213', '188', '38', '538', '263', '238', '163', '513', '363', '63', '313', '13', '563', '488', '138', '388', '438', '588', '613', '288', '113', '88']
['457', '282', '482', '582', '107', '207', '407', '182', '57', '7', '82', '584', '32', '382', '557', '132', '257', '232', '332', '532', '307', '357', '157', '607', '432']
['9', '60', '420', '558', '309', '508', '235', '334', '622', '616', '62', '181', '156', '214', '322', '372', '509', '141', '291', '339', '209', '85', '191', '259', '529']
['406', '514', '241', '206', '231', '110', '64', '192', '112', '560', '12', '384', '358', '283', '364', '295', '320', '564', '160', '187', '83', '87', '220', '39', '170']
['427', '252', '197', '552', '452', '352', '477', '152', '577', '102', '502', '77', '327', '27', '277', '227', '377', '2', '527', '202', '302', '602', '127', '177', '52']
['94', '194', '608', '133', '344', '319', '369', '294', '419', '519', '444', '544', '269', '19', '44', '394', '219', '169', '244', '69', '119', '469', '144', '494', '569']
['402', '34', '120', '91', '145', '333', '108', '559', '281', '106', '570', '147', '310', '72', '284', '520', '572', '485', '58', '45', '22', '139', '8', '437', '545']
['203', '153', '3', '28', '103', '403', '528', '453', '253', '278', '328', '603', '178', '503', '353', '428', '378', '128', '78', '553', '228', '53', '303', '578', '478']
['186', '486', '311', '136', '336', '586', '111', '11', '211', '386', '536', '361', '236', '347', '436', '261', '461', '86', '61', '611', '411', '36', '511', '286', '161']
['445', '345', '10', '183', '256', '459', '366', '41', '287', '359', '594', '234', '137', '589', '483', '297', '487', '547', '84', '114', '270', '210', '239', '335', '481']
['496', '221', '446', '70', '196', '546', '346', '571', '46', '246', '321', '421', '396', '271', '96', '621', '146', '596', '171', '71', '371', '21', '121', '471', '296']
['134', '360', '212', '595', '581', '387', '308', '619', '541', '262', '466', '306', '441', '89', '491', '266', '462', '172', '381', '341', '31', '464', '20', '97', '531']
['383', '389', '122', '316', '195', '470', '472', '56', '166', '512', '331', '562', '507', '397', '159', '158', '609', '597', '184', '456', '620', '614', '433', '534', '6']
['337', '233', '409', '489', '109', '312', '47', '37', '356', '370', '14', '422', '314', '561', '245', '247', '522', '95', '116', '264', '516', '556', '506', '216', '566']
['537', '391', '533', '431', '395', '412', '237', '189', '606', '610', '447', '81', '434', '258', '612', '222', '416', '435', '289', '185', '385', '585', '484', '521', '460']
['49', '324', '549', '224', '599', '574', '149', '349', '74', '299', '424', '174', '124', '249', '274', '474', '99', '374', '524', '624', '24', '399', '449', '199', '499']
['380', '305', '605', '205', '130', '255', '580', '555', '55', '155', '280', '480', '505', '105', '180', '405', '355', '230', '5', '455', '330', '530', '80', '430', '30']
