['179', '564', '138', '495', '213', '829', '531', '384', '498', '621']
['148', '128', '965', '147', '465', '183', '863', '260', '12', '774']
['154', '721', '323', '194', '87', '408', '63', '27', '19', '11']
['991', '172', '233', '24', '995', '152', '396', '812', '25', '32']
['524', '926', '197', '42', '311', '191', '725', '101', '409', '102']
['14', '914', '61', '68', '312', '66', '140', '474', '5', '142']
['57', '932', '938', '897', '432', '23', '298', '549', '105', '288']
['345', '406', '8', '877', '880', '45', '259', '589', '746', '287']
['369', '72', '473', '39', '4', '759', '404', '878', '111', '30']
['160', '295', '314', '728', '927', '177', '801', '571', '885', '790']
['694', '29', '761', '539', '82', '425', '952', '13', '726', '494']
['325', '853', '10', '353', '117', '800', '16', '344', '17', '54']
['956', '33', '626', '544', '649', '37', '651', '480', '271', '118']
['34', '44', '56', '80', '40', '469', '273', '753', '736', '730']
['104', '49', '180', '150', '832', '837', '574', '924', '695', '708']
['757', '732', '182', '18', '831', '1', '173', '244', '433', '806']
['252', '322', '251', '615', '145', '20', '171', '69', '309', '6']
['454', '691', '360', '265', '864', '887', '181', '781', '711', '858']
['763', '372', '212', '62', '902', '198', '467', '762', '873', '275']
['446', '362', '3', '688', '328', '48', '88', '650', '798', '285']
['84', '648', '78', '553', '22', '103', '90', '586', '15', '455']
['340', '359', '0', '472', '672', '916', '819', '891', '685', '960']
['845', '174', '339', '305', '367', '81', '169', '434', '395', '876']
['200', '637', '137', '208', '698', '397', '576', '772', '515', '330']
['442', '450', '267', '957', '578', '631', '606', '788', '141', '690']
['490', '307', '758', '281', '954', '613', '460', '106', '439', '385']
['703', '936', '55', '850', '945', '46', '71', '429', '709', '382']
['294', '915', '857', '462', '751', '124', '844', '964', '949', '332']
['748', '638', '348', '304', '940', '778', '712', '224', '262', '243']
['786', '246', '722', '552', '75', '313', '625', '791', '315', '545']
['766', '221', '852', '497', '616', '603', '792', '641', '738', '378']
['94', '568', '974', '817', '35', '659', '644', '440', '705', '861']
['647', '270', '818', '135', '41', '883', '466', '352', '520', '680']
['412', '64', '50', '723', '133', '112', '731', '528', '216', '358']
['366', '86', '923', '222', '76', '201', '605', '997', '116', '96']
['337', '807', '163', '234', '120', '416', '509', '471', '226', '794']
['70', '211', '405', '219', '65', '189', '591', '824', '228', '809']
['555', '375', '998', '594', '601', '79', '506', '507', '566', '968']
['866', '164', '508', '296', '435', '361', '286', '277', '542', '848']
['134', '890', '869', '411', '99', '525', '458', '719', '782', '889']
['840', '203', '318', '530', '167', '499', '2', '704', '684', '185']
['971', '380', '707', '910', '592', '491', '775', '423', '283', '976']
['516', '534', '918', '125', '504', '247', '598', '577', '676', '879']
['799', '250', '617', '893', '486', '860', '452', '701', '199', '316']
['427', '554', '321', '744', '967', '453', '306', '420', '558', '392']
['350', '937', '122', '143', '717', '639', '149', '667', '510', '373']
['931', '884', '227', '714', '196', '610', '92', '505', '764', '207']
['597', '146', '456', '388', '543', '565', '661', '448', '51', '95']
['851', '526', '293', '896', '523', '912', '97', '815', '588', '144']
['767', '733', '93', '36', '623', '760', '484', '634', '107', '238']
['771', '475', '562', '977', '485', '357', '847', '157', '656', '415']
['98', '833', '210', '627', '836', '477', '903', '89', '52', '943']
['865', '541', '391', '215', '789', '550', '911', '559', '297', '241']
['908', '237', '355', '280', '21', '232', '955', '342', '867', '400']
['489', '612', '909', '947', '538', '522', '810', '640', '308', '855']
['168', '110', '419', '773', '468', '47', '386', '841', '417', '529']
['988', '175', '724', '83', '572', '461', '958', '255', '881', '126']
['894', '629', '996', '363', '501', '582', '336', '770', '630', '161']
['713', '769', '716', '808', '115', '368', '959', '614', '374', '983']
['994', '119', '901', '756', '268', '585', '628', '652', '254', '343']
['632', '734', '784', '797', '939', '821', '546', '59', '532', '451']
['334', '266', '67', '282', '581', '920', '755', '225', '74', '123']
['570', '917', '121', '364', '253', '269', '536', '248', '272', '349']
['331', '43', '204', '155', '139', '58', '900', '579', '319', '424']
['814', '402', '660', '132', '239', '371', '985', '981', '206', '31']
['242', '338', '109', '944', '91', '948', '511', '658', '159', '158']
['633', '671', '503', '7', '686', '482', '839', '303', '202', '593']
['496', '787', '488', '310', '765', '517', '437', '935', '904', '827']
['153', '700', '710', '811', '401', '263', '933', '561', '669', '777']
['780', '697', '100', '999', '675', '354', '421', '257', '459', '862']
['329', '689', '426', '573', '720', '193', '236', '872', '347', '478']
['682', '729', '754', '666', '662', '245', '741', '178', '346', '992']
['502', '422', '567', '886', '608', '165', '953', '512', '430', '805']
['609', '973', '444', '802', '942', '907', '699', '324', '986', '993']
['463', '645', '278', '414', '220', '663', '356', '646', '642', '706']
['184', '969', '951', '696', '679', '500', '643', '514', '681', '987']
['223', '151', '438', '620', '493', '333', '813', '575', '302', '470']
['929', '750', '702', '875', '984', '970', '874', '950', '217', '231']
['622', '905', '655', '735', '85', '670', '607', '979', '290', '156']
['859', '982', '624', '317', '129', '747', '882', '229', '73', '785']
['519', '457', '513', '186', '393', '590', '828', '636', '481', '899']
['619', '803', '77', '127', '846', '796', '551', '776', '535', '26']
['301', '946', '279', '849', '665', '548', '816', '218', '895', '678']
['192', '60', '540', '188', '209', '768', '521', '341', '483', '892']
['413', '657', '843', '693', '804', '739', '740', '130', '162', '240']
['258', '962', '436', '925', '131', '492', '537', '556', '854', '961']
['547', '602', '383', '9', '990', '394', '557', '284', '431', '919']
['445', '407', '718', '403', '618', '596', '972', '826', '677', '235']
['604', '292', '418', '683', '28', '838', '449', '428', '664', '170']
['654', '856', '599', '888', '673', '441', '205', '476', '692', '795']
['370', '941', '377', '274', '108', '743', '963', '300', '825', '289']
['389', '820', '249', '447', '399', '834', '518', '635', '387', '752']
['737', '835', '980', '595', '921', '823', '822', '727', '978', '975']
['351', '214', '842', '390', '166', '38', '584', '527', '966', '580']
['793', '114', '261', '922', '611', '934', '653', '868', '299', '928']
['264', '533', '326', '230', '870', '871', '335', '742', '830', '487']
['989', '187', '745', '327', '600', '256', '276', '898', '583', '563']
['376', '379', '113', '365', '464', '687', '560', '53', '668', '190']
['479', '913', '779', '587', '136', '443', '410', '906', '715', '569']
['320', '291', '783', '398', '381', '176', '930', '674', '749', '195']
