['60', '122', '73', '64', '147', '77', '82', '37', '425', '81', '74', '105', '376', '780', '633', '86', '61', '174', '788', '681', '487', '78', '465', '83', '842', '42', '620', '256', '813', '529']
['779', '403', '263', '646', '154', '310', '41', '48', '306', '149', '520', '351', '359', '50', '436', '320', '561', '589', '673', '71', '755', '54', '31', '36', '418', '688', '357', '53', '59', '826']
['638', '68', '145', '75', '281', '238', '412', '419', '623', '7', '79', '66', '649', '63', '92', '855', '329', '492', '572', '522', '69', '84', '784', '67', '85', '449', '80', '423', '161', '499']
['648', '94', '134', '482', '125', '728', '115', '103', '98', '106', '111', '102', '489', '619', '375', '513', '135', '705', '898', '287', '562', '497', '101', '719', '726', '114', '119', '679', '239', '229']
['3', '894', '10', '65', '837', '136', '23', '782', '334', '29', '189', '284', '13', '19', '14', '852', '416', '670', '16', '25', '899', '18', '683', '1', '658', '531', '17', '709', '6', '126']
['380', '91', '667', '387', '293', '246', '27', '439', '283', '769', '295', '164', '591', '836', '587', '588', '276', '479', '288', '285', '270', '845', '672', '24', '765', '296', '469', '478', '52', '298']
['354', '452', '108', '336', '459', '420', '540', '472', '56', '278', '473', '823', '51', '727', '451', '557', '411', '863', '474', '800', '641', '827', '455', '897', '450', '8', '850', '464', '458', '668']
['203', '186', '279', '282', '582', '294', '691', '729', '321', '280', '178', '277', '806', '273', '583', '292', '100', '0', '462', '372', '674', '749', '297', '378', '289', '564', '568', '291', '4', '286']
['427', '252', '326', '832', '548', '431', '514', '546', '549', '541', '886', '617', '444', '550', '544', '47', '834', '574', '543', '695', '563', '567', '554', '754', '58', '377', '367', '547', '851', '545']
['9', '413', '406', '523', '828', '404', '571', '410', '46', '409', '454', '181', '117', '251', '72', '610', '414', '396', '392', '168', '156', '435', '873', '840', '875', '33', '318', '390', '177', '415']
['70', '196', '486', '745', '205', '207', '118', '206', '862', '182', '192', '747', '12', '825', '889', '833', '180', '655', '611', '201', '676', '185', '184', '609', '204', '187', '639', '199', '193', '190']
['634', '770', '707', '666', '637', '651', '644', '656', '347', '382', '340', '442', '632', '869', '804', '636', '659', '650', '171', '635', '385', '128', '456', '640', '645', '556', '847', '625', '643', '642']
['767', '817', '815', '794', '241', '400', '682', '838', '839', '816', '819', '368', '812', '830', '364', '818', '820', '503', '626', '509', '40', '829', '698', '2', '822', '95', '26', '824', '821', '736']
['457', '537', '552', '860', '352', '538', '526', '242', '756', '536', '517', '512', '384', '515', '240', '539', '775', '711', '244', '742', '706', '524', '602', '362', '573', '525', '521', '511', '518', '534']
['799', '179', '153', '856', '173', '152', '586', '494', '163', '501', '363', '166', '584', '790', '175', '150', '172', '699', '35', '176', '169', '159', '772', '160', '165', '127', '151', '500', '158', '753']
['337', '338', '763', '595', '311', '477', '342', '231', '502', '109', '386', '361', '313', '96', '879', '621', '227', '355', '857', '247', '781', '248', '708', '330', '268', '97', '335', '218', '795', '30']
['757', '446', '773', '383', '408', '760', '776', '661', '38', '558', '600', '652', '766', '628', '300', '752', '358', '774', '485', '762', '141', '104', '307', '592', '553', '530', '716', '430', '704', '777']
['360', '255', '107', '237', '155', '253', '269', '327', '243', '872', '612', '323', '495', '266', '249', '245', '507', '374', '254', '302', '264', '250', '696', '267', '265', '768', '259', '663', '575', '692']
['324', '887', '854', '605', '559', '308', '379', '616', '792', '328', '603', '271', '275', '89', '678', '299', '647', '44', '803', '877', '274', '613', '272', '440', '341', '290', '304', '703', '191', '569']
['496', '221', '849', '665', '188', '662', '717', '687', '344', '226', '697', '498', '732', '689', '671', '504', '596', '371', '738', '684', '669', '677', '339', '660', '399', '260', '614', '506', '885', '680']
['733', '737', '233', '601', '744', '305', '333', '725', '580', '721', '622', '734', '223', '599', '421', '606', '740', '217', '724', '723', '322', '443', '746', '578', '720', '741', '743', '739', '460', '566']
['654', '807', '608', '317', '183', '630', '309', '805', '195', '366', '893', '808', '796', '505', '429', '785', '798', '793', '787', '234', '789', '230', '783', '797', '132', '809', '802', '209', '401', '801']
['463', '657', '890', '751', '212', '528', '453', '319', '162', '555', '843', '224', '466', '888', '441', '301', '475', '461', '468', '405', '491', '314', '551', '467', '685', '483', '476', '895', '883', '730']
['490', '389', '853', '631', '870', '130', '369', '778', '627', '735', '846', '417', '198', '370', '146', '214', '365', '388', '880', '381', '598', '332', '5', '791', '350', '748', '516', '624', '373', '535']
['750', '215', '758', '213', '76', '590', '891', '577', '878', '508', '235', '11', '93', '896', '579', '731', '653', '15', '594', '124', '576', '144', '597', '771', '629', '675', '471', '585', '303', '510']
['859', '120', '133', '129', '470', '148', '110', '761', '312', '811', '62', '140', '447', '615', '131', '868', '488', '686', '45', '121', '87', '139', '90', '143', '20', '228', '88', '432', '867', '848']
['445', '34', '786', '49', '194', '142', '316', '57', '211', '55', '493', '874', '349', '424', '32', '422', '325', '261', '219', '426', '137', '99', '438', '315', '532', '116', '167', '39', '157', '437']
['604', '345', '391', '712', '170', '448', '346', '123', '348', '835', '262', '560', '434', '331', '200', '138', '831', '353', '232', '527', '428', '202', '542', '861', '565', '356', '810', '225', '481', '343']
['402', '533', '693', '864', '858', '881', '570', '519', '866', '112', '480', '236', '884', '664', '715', '694', '713', '710', '714', '690', '865', '702', '700', '844', '718', '22', '208', '701', '607', '593']
['197', '28', '398', '581', '43', '395', '892', '407', '393', '871', '759', '882', '814', '258', '433', '394', '722', '222', '257', '618', '397', '764', '21', '113', '210', '220', '841', '484', '216', '876']
